,dataset,samples,dimensions,algorithm,duration,knn,knc,cpd,ari,pds,cs
0,mouse-exon,23822,50,pca,45.51680422,0.02046847452,0.4714285714,0.9174962344,0.07481071323,0.8351598797,0.1802217791
1,mouse-exon,23822,50,lda,37.99365163,0.01156913777,0.4578947368,0.8860732675,0.072269816,0.7602678475,0.1670339665
2,mouse-exon,23822,50,tsne,37.9632833,0.4408236084,0.5864661654,0.2399987328,0.4553103469,0.05900638908,0.9132822612
3,mouse-exon,23822,50,umap,23.60789752,0.2472210562,0.6421052632,0.5319733944,0.4972017126,0.1742508661,0.8932381852
4,mouse-exon,23822,50,densne,42.02249408,0.3489421543,0.5541353383,0.3614106535,0.4665174316,0.119263962,0.9159058313
5,mouse-exon,23822,50,densmap,24.75983334,0.1445638485,0.5706766917,0.4921624459,0.5646098639,0.204172728,0.7812991919
6,mouse-exon,23822,50,scvis,3240,0.1186592226,0.722556391,0.5100631899,0.4974508542,0.2718909164,0.8152306993
7,ca1-neurons,3663,50,pca,2.326084852,0.07679497679,0.7387755102,0.8371280647,0.09124371715,0.8190925545,0.2096407458
8,ca1-neurons,3663,50,lda,1.956959248,0.04692874693,0.612244898,0.3109855405,0.2076185317,0.07040331441,0.3503865393
9,ca1-neurons,3663,50,tsne,1.733540058,0.4474474474,0.706122449,0.3766121013,0.3210901518,0.1136782563,0.636425648
10,ca1-neurons,3663,50,umap,1.788607597,0.3296478296,0.7326530612,0.3698994155,0.3354070002,0.1157622306,0.5873124147
11,ca1-neurons,3663,50,densne,1.939178467,0.4237237237,0.7469387755,0.4084498365,0.314783951,0.1731723471,0.6239199636
12,ca1-neurons,3663,50,densmap,1.945591927,0.2680589681,0.7224489796,0.4236811415,0.3068320487,0.1409374544,0.5216007276
13,ca1-neurons,3663,50,scvis,2100,0.2665028665,0.7489795918,0.5597593705,0.3066674421,0.2854673606,0.5479763529
14,pollen,249,14805,pca,0.7401297092,0.3453815261,1,0.6142632283,0.560100029,0.4819872209,0.85
15,pollen,249,14805,lda,0.7343513966,0.3,1,0.2952084153,0.5159582721,0.1076219469,0.7833333333
16,pollen,249,14805,tsne,0.6436429024,0.5875502008,1,0.4575238944,0.8684080274,0.2970860372,0.9233333333
17,pollen,249,14805,umap,0.69013834,0.421686747,1,0.1601199789,0.8301639084,0.04530065742,0.8933333333
18,pollen,249,14805,densmap,4.25411272,0.4493975904,1,0.220277802,0.7656879947,0.02889613118,0.84